obi,hedge,kill,seed,abertura,meta,resto,total,nkill
True,False,True,20240101,-11.319999999992433,64.85000000000582,80.51999999998952,134.0500000000029,0
True,False,True,20240102,7.669999999998254,-222.72999999999593,-104.79000000000815,-319.8500000000058,400
True,False,True,20240103,2.4199999999982538,-130.77999999999884,47.55999999999767,-80.80000000000291,249
True,False,True,20240104,4.400000000008731,-458.56999999999243,129.79999999998836,-324.36999999999534,278
True,False,True,20240105,7.6600000000034925,-707.2600000000093,178.25,-521.3500000000058,424
True,False,True,20240106,-10.040000000008149,-750.3600000000006,86.59000000001106,-673.8099999999977,355
True,False,True,20240107,-51.73000000001048,-461.1899999999878,-164.25,-677.1699999999983,652
True,False,True,20240108,-41.470000000001164,-285.1600000000035,131.58000000000175,-195.0500000000029,299
True,False,True,20240109,-20.479999999995925,-242.09999999999127,135.9599999999773,-126.6200000000099,120
True,False,True,20240110,-31.55999999999767,-275.56999999999243,-543.640000000014,-850.7700000000041,237
True,False,True,20240111,23.0,-605.179999999993,25.929999999993015,-556.25,1226
True,False,True,20240112,1.5200000000040745,-477.7899999999936,65.15999999998894,-411.1100000000006,585
True,False,True,20240113,-15.820000000006985,-375.9400000000023,62.610000000015134,-329.1499999999942,360
True,False,True,20240114,-41.979999999995925,-286.2199999999866,140.92999999997846,-187.27000000000407,136
True,False,True,20240115,-5.360000000000582,-377.8099999999977,113.14999999999418,-270.0200000000041,225
True,False,True,20240116,12.289999999993597,-40.139999999984866,245.2399999999907,217.38999999999942,241
True,False,True,20240117,16.180000000007567,-277.4900000000198,-26.589999999996508,-287.90000000000873,301
True,False,True,20240118,10.610000000000582,-292.1699999999837,185.06999999999243,-96.48999999999069,292
True,False,True,20240119,-8.210000000006403,-351.2299999999959,132.61000000000058,-226.83000000000175,249
True,False,True,20240120,1.319999999992433,-260.74000000000524,99.97000000001572,-159.4499999999971,426
True,True,False,20240101,-11.319999999992433,-535.570000000007,-511.65000000000873,-1058.5400000000081,0
True,True,False,20240102,-61.59999999999127,-1134.7800000000134,-542.859999999986,-1739.2399999999907,0
True,True,False,20240103,-96.77000000000407,-827.4900000000052,-394.7299999999814,-1318.9899999999907,0
True,True,False,20240104,-71.43999999998778,-998.3099999999831,-588.4600000000355,-1658.2100000000064,0
True,True,False,20240105,4.619999999995343,-1199.5500000000175,-339.69999999998254,-1534.6300000000047,0
True,True,False,20240106,-73.7899999999936,-1199.7100000000064,-698.2400000000198,-1971.7400000000198,0
True,True,False,20240107,-43.80999999999767,-1414.1100000000006,-551.0299999999988,-2008.949999999997,0
True,True,False,20240108,-66.68999999998778,-920.8499999999913,-403.33000000003085,-1390.87000000001,0
True,True,False,20240109,-12.990000000005239,-749.4900000000052,-879.1599999999744,-1641.6399999999849,0
True,True,False,20240110,-52.25,-781.25,-868.2799999999988,-1701.7799999999988,0
True,True,False,20240111,4.809999999997672,-3374.720000000001,-535.5499999999884,-3905.459999999992,0
True,True,False,20240112,-169.27999999999884,-1131.570000000007,-372.95999999999185,-1673.8099999999977,0
True,True,False,20240113,-15.339999999996508,-653.1899999999878,-551.1399999999994,-1219.6699999999837,0
